gvkey,iid,gvkeyx,from,thru,conm,indextype,tic,spii,spmi,indexcat,co_conm,co_tic,co_cusip,co_cik,co_sic,co_naics
005047,01,000005,07NOV1907,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,GENERAL ELECTRIC CO,GE,369604103,0000040545,9997,999977
005073,01,000005,16MAR1915,07JUN2009,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,GENERAL MOTORS CO,GM,62010A105,0001467858,3711,33611
005073,01,000005,16MAR1915,07JUN2009,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,GENERAL MOTORS CO,GM,370442774,0001467858,3711,33611
005073,01,000005,16MAR1915,07JUN2009,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,GENERAL MOTORS CO,GM,370442121,0001467858,3711,33611
005073,01,000005,16MAR1915,07JUN2009,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,GENERAL MOTORS CO,GM,370442766,0001467858,3711,33611
005073,01,000005,16MAR1915,07JUN2009,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,GENERAL MOTORS CO,GM,62010A105,0001467858,3711,33611
005073,01,000005,16MAR1915,07JUN2009,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,GENERAL MOTORS CO,GM,37045V100,0001467858,3711,33611
005073,01,000005,16MAR1915,07JUN2009,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,GENERAL MOTORS CO,GM,370442725,0001467858,3711,33611
009563,01,000005,22JAN1924,31OCT1999,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,SEARS ROEBUCK & CO,S.1,812387108,0000319256,5311,452111
001300,01,000005,07DEC1925,18FEB2008,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,HONEYWELL INTERNATIONAL INC,HON,438516106,0000773840,3822,334512
004503,01,000005,01OCT1928,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,EXXON MOBIL CORP,XOM,30231G102,0000034088,2911,324110
010857,01,000005,01OCT1928,31OCT1999,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,UNION CARBIDE CORP,DOW2,905581104,0000100790,2860,325199
005234,01,000005,18JUL1930,31OCT1999,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,GOODYEAR TIRE & RUBBER CO,GT,382550101,0000042582,3011,326211
004194,01,000005,18JUL1930,07APR2004,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,EASTMAN KODAK CO,KODK,277461109,0000031235,3861,325992
004194,01,000005,18JUL1930,07APR2004,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,EASTMAN KODAK CO,KODK,277461406,0000031235,3861,325992
003144,01,000005,26MAY1932,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,COCA-COLA CO,KO,191216100,0000021344,2086,312111
006066,01,000005,26MAY1932,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,INTL BUSINESS MACHINES CORP,IBM,459200101,0000051143,7370,541519
008762,01,000005,26MAY1932,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,PROCTER & GAMBLE CO,PG,742718109,0000080424,2840,325611
004087,01,000005,20NOV1935,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,DU PONT (E I) DE NEMOURS,DD,263534109,0000030554,2820,3252
004087,01,000005,20NOV1935,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,DU PONT (E I) DE NEMOURS,DD,263534307,0000030554,2820,3252
004087,01,000005,20NOV1935,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,DU PONT (E I) DE NEMOURS,DD,263534208,0000030554,2820,3252
001581,01,000005,14MAR1939,07APR2004,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,AT&T CORP,T.2,001957505,0000005907,4813,517110
006104,01,000005,03JUL1956,07APR2004,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,INTL PAPER CO,IP,460146103,0000051434,2631,322130
001356,01,000005,01JUN1959,22SEP2013,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,ALCOA INC,AA,013817200,0000004281,3350,331318
001356,01,000005,01JUN1959,22SEP2013,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,ALCOA INC,AA,013817101,0000004281,3350,331318
010983,01,000005,01MAY1975,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,UNITED TECHNOLOGIES CORP,UTX,913017109,0000101829,3724,336412
007435,01,000005,09AUG1976,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,3M CO,MMM,88579Y101,0000066740,2670,322220
007257,01,000005,29JUN1979,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,MERCK & CO,MRK,58933Y105,0000310158,2834,325412
001447,01,000005,30AUG1982,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,AMERICAN EXPRESS CO,AXP,025816109,0000004962,6199,522320
001447,01,000005,30AUG1982,,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW,AMERICAN EXPRESS CO,AXP,025816133,0000004962,6199,522320
