gvkeyx,bkvlps,cshtrm,dvpsxm,dvrate,epsx12,prccm,prchm,prclm,datadate,conm,indextype,tic,spii,spmi,indexcat
000005,,,6.0100,70.6800,133.0490,1958.2200,2075.2698,1845.9900,31JAN1988,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,6.0100,70.6800,133.0490,2071.6199,2078.0798,1878.1499,29FEB1988,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,6.0100,72.1200,144.4490,1988.0598,2110.9099,1951.2598,31MAR1988,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,6.7300,72.1200,144.4490,2032.3298,2121.3499,1968.0000,30APR1988,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,6.7300,72.1200,144.4490,2031.1199,2071.9500,1921.5798,31MAY1988,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,6.7300,80.7600,168.5400,2141.7100,2169.0999,2021.3398,30JUN1988,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,6.8500,80.7600,168.5400,2128.7300,2169.4500,2047.2998,31JUL1988,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,6.8500,80.7600,168.5400,2031.6499,2151.8499,1978.6599,31AUG1988,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,6.8500,82.2000,181.0400,2112.9099,2140.2898,1988.4399,30SEP1988,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,6.9300,82.2000,181.0400,2148.6499,2195.0598,2082.3298,31OCT1988,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,6.9300,82.2000,181.0400,2114.5098,2185.9900,2026.6699,30NOV1988,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,1075.0000,,6.9300,83.1600,215.4600,2168.5698,2193.7500,2075.3899,31DEC1988,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.5500,83.1600,215.4600,2342.3198,2350.1799,2127.1399,31JAN1989,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.5500,83.1600,215.4600,2258.3899,2369.2898,2232.1399,28FEB1989,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.5500,90.6000,229.7500,2293.6199,2351.0698,2234.4600,31MAR1989,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.3800,90.6000,229.7500,2418.7998,2433.0999,2282.0698,30APR1989,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.3800,90.6000,229.7500,2480.1499,2521.6299,2356.2998,31MAY1989,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.3800,112.5600,226.5200,2440.0598,2544.9500,2412.9399,30JUN1989,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.5700,112.5600,226.5200,2660.6599,2668.2500,2431.5298,31JUL1989,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.5700,112.5600,226.5200,2737.2698,2758.7300,2619.8799,31AUG1989,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,9.5700,114.8400,225.4800,2692.8198,2768.2400,2636.7798,30SEP1989,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.8300,114.8400,225.4800,2645.0798,2809.0798,2496.9299,31OCT1989,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.8300,114.8400,225.4800,2706.2698,2718.2200,2563.1099,30NOV1989,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,1276.0000,,7.8300,93.9600,221.4800,2753.2000,2784.7698,2658.7000,31DEC1989,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.7800,93.9600,221.4800,2590.5398,2834.0398,2513.0598,31JAN1990,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.7800,93.9600,221.4800,2627.2500,2674.3198,2540.9900,28FEB1990,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.7800,105.3600,205.6000,2707.2100,2775.0000,2607.8799,31MAR1990,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.7400,105.3600,205.6000,2656.7598,2793.4700,2627.7000,30APR1990,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.7400,105.3600,205.6000,2876.6599,2908.2100,2651.3499,31MAY1990,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.7400,104.8800,207.7800,2880.6899,2956.9299,2821.5298,30JUN1990,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.4500,104.8800,207.7800,2905.2000,3024.2598,2833.1699,31JUL1990,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.4500,104.8800,207.7800,2614.3599,2931.1899,2459.4099,31AUG1990,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.4500,101.4000,193.1700,2452.4800,2665.3499,2367.8198,30SEP1990,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.6000,101.4000,193.1700,2442.3298,2565.3499,2344.3098,31OCT1990,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.6000,101.4000,193.1700,2559.6499,2581.1899,2415.5898,30NOV1990,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,1332.0000,,8.6000,103.2000,172.0500,2633.6599,2662.6199,2534.6499,31DEC1990,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.3200,103.2000,172.0500,2736.3899,2747.2798,2447.0298,31JAN1991,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.3200,103.2000,172.0500,2882.1799,2955.2000,2694.3098,28FEB1991,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.3200,99.8400,154.1700,2913.8599,3017.8198,2829.2100,31MAR1991,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.7600,99.8400,154.1700,2887.8699,3030.4500,2848.5098,30APR1991,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.7600,99.8400,154.1700,3027.5000,3044.5000,2834.5298,31MAY1991,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.7600,93.1200,131.4200,2906.7500,3057.4700,2879.2500,30JUN1991,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.8500,93.1200,131.4200,3024.8198,3039.5798,2897.3599,31JUL1991,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.8500,93.1200,131.4200,3043.5999,3068.6499,2836.3098,31AUG1991,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.8500,94.2000,100.9100,3016.7698,3066.6399,2963.0999,30SEP1991,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.8000,94.2000,100.9100,3069.0999,3091.0098,2925.5398,31OCT1991,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.8000,94.2000,100.9100,2894.6799,3091.9099,2861.1399,30NOV1991,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,1301.0000,,7.8000,93.6000,49.2700,3168.8298,3204.6099,2832.2898,31DEC1991,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.6800,93.6000,49.2700,3223.3899,3313.5098,3119.8599,31JAN1992,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.6800,93.6000,49.2700,3267.6699,3307.4700,3193.4299,29FEB1992,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,7.6800,92.1600,60.6200,3235.4700,3318.4299,3176.2100,31MAR1992,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.5000,92.1600,60.6200,3359.1199,3387.9700,3141.7698,30APR1992,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
000005,,,8.5000,92.1600,60.6200,3396.8799,3433.9500,3316.6399,31MAY1992,Dow Jones Industrials-30 Stk,NONE,I0005,,,DOW
