
      Date    Reported     Reported   Dollar Value   Reported
(YYYYMMDD)     Shares       Trades     (Millions)    Warrants
   20000103    931,732,833    867,368    $41,819.5      130,400
   20000104  1,008,963,898    871,889    $44,279.6      130,800
   20000105  1,085,474,786    943,846    $49,263.3      102,600
   20000106  1,092,208,627    850,294    $47,230.7       94,400
   20000107  1,225,061,345    999,935    $55,410.7      158,400
   20000110  1,064,605,720    904,197    $50,397.7      242,400
   20000111  1,013,968,742    845,305    $44,617.1       76,100
   20000112    974,520,118    845,317    $42,671.1      104,700
   20000113  1,030,385,813    836,768    $44,674.6       85,400
   20000114  1,085,745,298    912,794    $48,774.7      176,000
   20000118  1,051,575,171    910,725    $46,588.5       98,000
   20000119  1,063,620,732    816,266    $46,874.2      120,200
   20000120  1,105,282,784    889,143    $50,356.8      107,500
   20000121  1,225,708,645    883,836    $54,187.5      138,600
   20000124  1,115,780,993    896,246    $48,949.9      109,400
   20000125  1,073,669,854    870,339    $46,758.4       74,200
   20000126  1,117,016,876    851,498    $48,226.4      303,200
   20000127  1,129,479,904    846,952    $48,691.0      110,200
   20000128  1,095,748,077    868,916    $48,436.0       91,700
   20000131    993,704,402    864,323    $43,086.7       98,000
   20000201    980,791,962    844,908    $43,147.7      212,400
   20000202  1,038,567,263    845,857    $45,164.6       58,400
   20000203  1,124,233,458    888,848    $49,147.0       62,000
   20000204  1,045,017,310    819,790    $45,357.7       94,900
   20000207    932,023,060    772,083    $39,612.1      164,600
   20000208  1,059,022,416    844,507    $46,176.1      139,800
   20000209  1,050,308,964    857,337    $45,474.7      203,800
   20000210  1,058,732,245    825,125    $42,517.7      131,300
   20000211  1,029,855,080    810,824    $41,145.4      133,600
   20000214    927,207,096    790,371    $36,762.9       97,400
   20000215  1,092,024,218    854,719    $44,615.9      153,500
   20000216  1,018,707,003    814,523    $42,807.1      120,900
   20000217  1,034,660,297    832,425    $43,972.6      156,900
   20000218  1,042,269,190    870,878    $44,385.1       65,200
   20000222    979,955,442    879,884    $41,559.2       99,000
   20000223    993,530,902    835,617    $41,749.5      212,400
   20000224  1,214,836,835    968,789    $51,890.1      163,200
   20000225  1,065,210,614    863,351    $44,856.6       80,600
   20000228  1,026,445,969    896,991    $43,980.7      102,400
   20000229  1,204,232,816    930,807    $50,925.4      112,600
   20000301  1,273,565,979    986,568    $56,133.0      535,700
   20000302  1,198,485,424    905,254    $50,832.1      155,700
   20000303  1,150,029,357    877,371    $50,590.3      288,100
   20000306  1,028,929,929    846,677    $45,419.2      130,500
   20000307  1,313,858,243    992,695    $57,172.0      241,000
   20000308  1,215,222,335    968,481    $51,480.6      191,100
   20000309  1,122,885,373    887,906    $48,258.6      113,300
   20000310  1,138,686,510    886,105    $49,846.5      193,900
   20000313  1,015,383,846    883,582    $43,859.7      159,200
   20000314  1,093,813,095    922,610    $47,465.1      184,800
   20000315  1,302,556,933    998,874    $55,886.8      209,000
   20000316  1,481,603,025  1,156,283    $66,460.2      257,600
   20000317  1,313,845,742  1,042,492    $61,385.6      251,200
   20000320    920,588,921    852,967    $42,173.0      101,700
   20000321  1,065,545,150    897,606    $49,170.0      168,000
   20000322  1,076,777,056    902,899    $50,206.5      110,600
   20000323  1,078,113,449    866,937    $50,179.0       58,900
   20000324  1,051,830,068    928,702    $50,739.9      101,800
   20000327    900,677,686    807,098    $42,045.6       80,900
   20000328    958,471,675    848,216    $43,347.6       73,600
   20000329  1,061,530,692    886,281    $49,412.8      137,600
   20000330  1,193,208,868    975,273    $56,148.0      148,200
   20000331  1,227,157,208    959,500    $54,316.2      127,700
   20000403  1,026,377,515    896,027    $47,785.7      200,200
   20000404  1,512,392,456  1,283,921    $74,458.4      145,800
   20000405  1,120,944,247    946,296    $52,080.8      102,300
   20000406  1,015,403,507    845,530    $45,386.7       84,500
   20000407    897,780,029    757,752    $40,042.9       91,100
   20000410    854,461,192    825,054    $40,053.2       95,500
   20000411    980,508,996    905,369    $47,141.0       66,200
   20000412  1,175,590,839    985,474    $55,127.9      158,600
   20000413  1,031,759,615    905,421    $49,416.3       57,100
   20000414  1,279,290,505  1,116,701    $57,896.6       82,100
