Daily NYSE Group Volume in NYSE Listed,,,,
,,,,
,,,,
,Trade Date,NYSE Group Shares,NYSE Group Trades,NYSE Group Dollar Volume
,,,,
2004,1/2/04,"1,154,673,871","1,404,419","$36,357,289,932"
2004,1/5/04,"1,597,047,823","1,669,196","$49,672,539,070"
2004,1/6/04,"1,543,992,181","1,626,774","$47,628,542,888"
2004,1/7/04,"1,755,988,629","1,629,163","$51,570,854,980"
2004,1/8/04,"1,967,451,506","1,626,542","$55,810,283,026"
2004,1/9/04,"1,726,966,057","1,652,715","$52,029,211,179"
2004,1/12/04,"1,515,080,887","1,608,998","$46,127,854,681"
2004,1/13/04,"1,593,870,043","1,617,115","$48,032,547,818"
2004,1/14/04,"1,546,905,273","1,484,887","$44,371,808,665"
2004,1/15/04,"1,714,855,536","1,723,138","$53,337,554,292"
2004,1/16/04,"1,744,495,151","1,515,778","$50,708,023,592"
2004,1/20/04,"1,748,708,303","1,671,272","$50,305,516,331"
2004,1/21/04,"1,811,375,092","1,660,077","$53,767,743,548"
2004,1/22/04,"1,721,512,821","1,698,952","$51,991,135,585"
2004,1/23/04,"1,571,899,883","1,625,791","$49,058,322,075"
2004,1/26/04,"1,488,503,376","1,643,237","$46,362,898,389"
2004,1/27/04,"1,676,648,179","1,701,644","$51,302,329,847"
2004,1/28/04,"1,877,563,371","1,765,869","$58,521,408,841"
2004,1/29/04,"1,963,974,873","1,942,956","$60,588,956,105"
2004,1/30/04,"1,679,605,129","1,704,478","$49,559,342,283"
2004,2/2/04,"1,605,067,036","1,837,774","$50,102,140,611"
2004,2/3/04,"1,516,180,862","1,658,789","$46,803,522,874"
2004,2/4/04,"1,641,904,306","1,779,443","$50,516,996,908"
2004,2/5/04,"1,588,387,753","1,666,059","$49,245,546,162"
2004,2/6/04,"1,483,469,019","1,623,759","$46,985,715,461"
2004,2/9/04,"1,311,957,436","1,527,960","$40,617,138,028"
2004,2/10/04,"1,409,500,727","1,584,600","$44,348,543,376"
2004,2/11/04,"1,741,745,077","1,738,924","$55,820,015,098"
2004,2/12/04,"1,474,531,360","1,497,263","$44,777,149,236"
2004,2/13/04,"1,328,027,845","1,501,166","$41,201,357,548"
2004,2/17/04,"1,409,635,758","1,524,670","$42,298,569,480"
2004,2/18/04,"1,384,130,071","1,481,886","$41,454,286,274"
2004,2/19/04,"1,574,705,434","1,556,775","$47,424,324,180"
2004,2/20/04,"1,481,413,368","1,615,941","$45,682,738,947"
2004,2/23/04,"1,407,953,090","1,630,604","$43,268,673,737"
2004,2/24/04,"1,543,611,948","1,721,649","$49,090,762,919"
2004,2/25/04,"1,367,888,427","1,517,471","$43,141,319,738"
2004,2/26/04,"1,399,026,714","1,551,723","$44,949,654,096"
2004,2/27/04,"1,550,672,193","1,627,567","$51,194,261,744"
2004,3/1/04,"1,507,919,516","1,664,805","$48,729,296,195"
2004,3/2/04,"1,502,936,659","1,708,024","$48,431,304,194"
2004,3/3/04,"1,342,775,942","1,613,552","$43,162,161,973"
2004,3/4/04,"1,276,380,559","1,429,686","$40,673,640,834"
2004,3/5/04,"1,413,676,382","1,643,758","$47,836,608,926"
2004,3/8/04,"1,278,156,226","1,540,145","$41,471,998,352"
2004,3/9/04,"1,501,766,269","1,655,622","$47,794,022,229"
2004,3/10/04,"1,701,472,747","1,728,575","$54,701,239,873"
2004,3/11/04,"1,946,242,223","1,903,957","$59,331,791,378"
2004,3/12/04,"1,424,466,077","1,643,969","$45,707,279,601"
2004,3/15/04,"1,618,497,630","1,855,790","$47,756,571,616"
2004,3/16/04,"1,523,161,841","1,797,262","$46,208,585,578"
2004,3/17/04,"1,543,046,857","1,602,332","$47,406,336,001"
2004,3/18/04,"1,382,099,211","1,734,035","$44,210,798,639"
2004,3/19/04,"1,465,301,943","1,512,577","$45,972,148,357"
2004,3/22/04,"1,464,422,259","1,829,145","$46,243,092,851"
2004,3/23/04,"1,471,341,686","1,777,129","$45,840,399,808"
2004,3/24/04,"1,539,510,316","1,814,373","$48,441,010,598"
2004,3/25/04,"1,539,674,320","1,708,988","$47,545,381,754"
2004,3/26/04,"1,333,512,550","1,535,691","$41,219,056,791"
2004,3/29/04,"1,417,408,843","1,674,016","$43,371,953,377"
2004,3/30/04,"1,344,429,960","1,578,072","$42,237,150,144"
2004,3/31/04,"1,576,216,798","1,682,866","$49,753,210,876"
2004,4/1/04,"1,577,087,383","1,735,361","$50,814,570,083"
2004,4/2/04,"1,649,726,438","1,745,271","$54,063,882,089"
2004,4/5/04,"1,431,385,642","1,687,701","$47,036,961,119"
2004,4/6/04,"1,426,325,000","1,647,505","$45,304,781,229"
2004,4/7/04,"1,479,894,659","1,662,653","$47,049,800,145"
2004,4/8/04,"1,231,963,735","1,485,222","$40,511,679,422"
2004,4/12/04,"1,132,423,117","1,489,953","$36,705,732,096"
2004,4/13/04,"1,446,339,835","1,789,505","$47,139,095,135"
2004,4/14/04,"1,567,653,009","1,744,875","$51,711,212,027"
2004,4/15/04,"1,597,080,271","1,833,031","$53,895,164,344"
2004,4/16/04,"1,507,852,267","1,677,456","$49,302,870,838"
2004,4/19/04,"1,218,547,216","1,575,274","$39,184,390,461"
2004,4/20/04,"1,538,638,233","1,704,533","$48,159,151,013"
2004,4/21/04,"1,755,007,636","1,831,328","$56,127,860,599"
2004,4/22/04,"1,841,792,888","1,905,037","$60,154,467,302"
2004,4/23/04,"1,407,043,576","1,621,540","$44,859,573,092"
2004,4/26/04,"1,307,131,160","1,712,474","$42,694,740,456"
2004,4/27/04,"1,562,374,365","1,820,492","$50,865,490,516"
2004,4/28/04,"1,914,266,780","1,887,873","$55,678,411,268"
2004,4/29/04,"1,895,738,045","2,043,991","$57,486,882,964"
2004,4/30/04,"1,686,261,626","1,999,874","$51,760,279,797"
2004,5/3/04,"1,726,797,254","1,975,590","$53,274,513,625"
2004,5/4/04,"1,690,176,147","2,017,425","$51,651,157,206"
2004,5/5/04,"1,503,466,958","1,793,783","$46,663,507,577"
2004,5/6/04,"1,542,716,311","1,841,381","$48,075,668,470"
2004,5/7/04,"1,665,934,285","1,953,690","$52,534,114,489"
2004,5/10/04,"1,942,487,837","2,264,748","$60,589,110,353"
2004,5/11/04,"1,569,059,940","1,851,491","$48,822,041,823"
2004,5/12/04,"1,741,721,813","2,106,936","$55,318,536,525"
2004,5/13/04,"1,462,504,894","1,892,133","$46,264,071,371"
2004,5/14/04,"1,356,963,569","1,880,580","$42,057,365,865"
2004,5/17/04,"1,451,561,976","1,933,467","$43,522,182,528"
2004,5/18/04,"1,371,992,798","1,728,038","$41,244,213,810"
2004,5/19/04,"1,578,974,214","1,827,892","$48,308,647,272"
2004,5/20/04,"1,233,442,113","1,637,020","$37,945,082,083"
2004,5/21/04,"1,269,151,691","1,649,273","$39,449,989,463"
2004,5/24/04,"1,247,980,103","1,722,492","$39,914,263,137"
2004,5/25/04,"1,567,428,987","1,939,709","$49,529,165,119"
2004,5/26/04,"1,410,220,002","1,725,552","$45,020,422,854"
2004,5/27/04,"1,481,399,082","1,815,208","$47,499,364,365"
2004,5/28/04,"1,291,507,490","1,455,557","$40,411,906,735"
2004,6/1/04,"1,266,859,680","1,786,535","$40,695,032,991"
2004,6/2/04,"1,278,028,359","1,708,315","$40,936,260,178"
2004,6/3/04,"1,280,996,730","1,622,073","$41,072,711,096"
2004,6/4/04,"1,129,089,299","1,557,329","$36,309,565,447"
2004,6/7/04,"1,246,481,485","1,548,235","$40,348,279,046"
2004,6/8/04,"1,205,304,735","1,516,869","$39,925,259,854"
2004,6/9/04,"1,296,693,046","1,637,483","$41,462,205,605"
2004,6/10/04,"1,229,517,032","1,468,032","$38,367,151,761"
2004,6/14/04,"1,198,901,294","1,699,019","$37,706,446,287"
2004,6/15/04,"1,358,971,823","1,848,621","$43,917,591,136"
2004,6/16/04,"1,181,304,211","1,536,540","$37,627,526,249"
2004,6/17/04,"1,344,970,277","1,610,765","$40,599,829,953"
2004,6/18/04,"1,568,866,596","1,574,077","$49,678,243,292"
2004,6/21/04,"1,204,034,953","1,559,915","$36,843,436,243"
2004,6/22/04,"1,418,295,973","1,717,341","$45,018,323,405"
2004,6/23/04,"1,466,207,475","1,743,536","$46,545,423,285"
2004,6/24/04,"1,443,628,916","1,709,059","$44,542,727,560"
2004,6/25/04,"2,447,916,562","1,710,647","$73,559,722,632"
2004,6/28/04,"1,383,735,490","1,841,223","$44,528,167,203"
2004,6/29/04,"1,443,804,991","1,780,742","$46,252,526,715"
2004,6/30/04,"1,541,855,782","1,738,755","$50,425,168,071"
2004,7/1/04,"1,530,488,761","1,856,780","$49,674,044,569"
2004,7/2/04,"1,097,680,025","1,504,443","$34,688,333,807"
2004,7/6/04,"1,335,449,145","1,757,320","$40,714,555,999"
2004,7/7/04,"1,355,710,484","1,699,097","$42,589,240,956"
2004,7/8/04,"1,422,562,287","1,830,273","$44,346,425,453"
2004,7/9/04,"1,217,830,372","1,570,308","$38,477,352,530"
2004,7/12/04,"1,145,313,789","1,565,951","$35,680,979,220"
2004,7/13/04,"1,227,085,457","1,517,366","$37,778,185,475"
2004,7/14/04,"1,493,758,472","1,705,749","$46,000,040,583"
2004,7/15/04,"1,447,861,142","1,697,210","$45,022,893,106"
2004,7/16/04,"1,473,281,136","1,669,130","$47,834,776,786"
2004,7/19/04,"1,342,518,117","1,728,259","$43,364,589,017"
2004,7/20/04,"1,465,757,311","1,787,887","$46,172,528,763"
2004,7/21/04,"1,702,732,893","1,854,386","$48,814,020,213"
2004,7/22/04,"1,705,908,658","2,001,079","$52,825,546,909"
2004,7/23/04,"1,354,690,683","1,755,765","$42,254,616,443"
2004,7/26/04,"1,457,146,149","1,933,167","$43,973,435,806"
2004,7/27/04,"1,642,281,736","1,922,050","$49,676,860,381"
2004,7/28/04,"1,580,962,717","1,936,124","$47,774,309,230"
2004,7/29/04,"1,565,160,929","1,920,617","$47,830,536,976"
2004,7/30/04,"1,363,466,922","1,686,619","$42,123,129,047"
2004,8/2/04,"1,303,131,809","1,834,770","$41,310,685,308"
2004,8/3/04,"1,390,703,332","1,781,861","$43,994,977,161"
2004,8/4/04,"1,395,561,726","1,792,509","$41,660,950,250"
2004,8/5/04,"1,438,878,263","1,760,764","$43,748,244,315"
2004,8/6/04,"1,547,178,785","1,926,713","$47,555,885,193"
2004,8/9/04,"1,120,550,234","1,604,178","$33,668,008,463"
2004,8/10/04,"1,289,952,161","1,695,405","$39,024,179,015"
2004,8/11/04,"1,426,521,018","1,827,099","$41,159,972,618"
2004,8/12/04,"1,434,785,133","1,753,313","$40,735,481,629"
2004,8/13/04,"1,197,537,183","1,553,018","$35,275,182,545"
2004,8/16/04,"1,231,870,003","1,697,938","$36,854,955,251"
2004,8/17/04,"1,312,867,374","1,668,792","$40,363,657,515"
2004,8/18/04,"1,320,514,776","1,719,317","$39,708,022,467"
2004,8/19/04,"1,309,327,893","1,667,727","$38,228,664,052"
2004,8/20/04,"1,250,152,692","1,590,964","$38,043,392,127"
2004,8/23/04,"1,044,047,667","1,615,353","$32,176,209,934"
2004,8/24/04,"1,149,691,846","1,543,524","$34,719,433,871"
2004,8/25/04,"1,220,528,409","1,626,190","$37,348,294,460"
2004,8/26/04,"1,066,117,198","1,472,989","$32,483,804,210"
2004,8/27/04,"874,783,983","1,291,576","$27,016,185,370"
2004,8/30/04,"915,696,041","1,368,115","$27,839,485,525"
2004,8/31/04,"1,272,548,408","1,513,317","$39,361,579,509"
2004,9/1/04,"1,162,543,563","1,678,153","$36,633,609,797"
2004,9/2/04,"1,151,879,218","1,549,748","$36,607,518,688"
2004,9/3/04,"943,908,542","1,430,552","$29,610,122,527"
2004,9/7/04,"1,285,880,326","1,772,748","$41,394,799,177"
2004,9/8/04,"1,317,144,782","1,725,119","$41,998,763,851"
2004,9/9/04,"1,397,062,926","1,844,412","$42,268,348,021"
2004,9/10/04,"1,302,583,689","1,631,106","$38,885,754,830"
2004,9/13/04,"1,378,938,053","1,689,382","$41,856,191,174"
2004,9/14/04,"1,291,606,995","1,589,619","$40,434,100,479"
2004,9/15/04,"1,315,307,449","1,658,202","$40,442,798,705"
2004,9/16/04,"1,156,215,345","1,493,324","$34,417,974,625"
2004,9/17/04,"1,503,335,173","1,575,915","$48,000,147,344"
2004,9/20/04,"1,224,005,978","1,683,576","$39,079,683,254"
2004,9/21/04,"1,338,666,351","1,734,499","$43,654,158,257"
2004,9/22/04,"1,477,092,312","1,811,286","$49,279,209,560"
2004,9/23/04,"1,367,976,293","1,686,387","$45,102,128,916"
2004,9/24/04,"1,293,761,218","1,563,990","$41,571,670,635"
2004,9/27/04,"1,312,617,234","1,663,654","$41,323,430,662"
2004,9/28/04,"1,433,905,634","1,750,021","$43,808,542,565"
2004,9/29/04,"1,456,987,195","1,754,930","$45,814,262,742"
2004,9/30/04,"1,885,909,279","1,864,873","$60,292,675,796"
2004,10/1/04,"1,659,609,044","1,905,165","$50,765,495,875"
2004,10/4/04,"1,604,318,312","1,936,214","$50,368,180,486"
2004,10/5/04,"1,480,105,752","1,794,765","$47,514,934,537"
2004,10/6/04,"1,499,606,826","1,792,691","$46,983,930,757"
2004,10/7/04,"1,495,753,920","1,767,285","$46,933,191,510"
2004,10/8/04,"1,324,817,427","1,744,235","$41,628,036,497"
2004,10/11/04,"966,083,791","1,457,172","$30,419,357,005"
2004,10/12/04,"1,397,523,690","1,733,211","$44,529,194,349"
2004,10/13/04,"1,589,668,224","1,985,014","$51,146,557,195"
2004,10/14/04,"1,545,142,807","1,893,813","$51,562,844,020"
2004,10/15/04,"1,730,315,540","1,916,812","$55,694,405,286"
2004,10/18/04,"1,451,429,942","1,944,941","$46,381,839,442"
2004,10/19/04,"1,793,844,046","2,002,862","$58,151,823,247"
2004,10/20/04,"1,760,373,798","2,049,766","$57,239,122,910"
2004,10/21/04,"1,772,721,540","2,095,955","$56,705,583,251"
2004,10/22/04,"1,510,746,545","1,900,964","$47,614,390,982"
2004,10/25/04,"1,412,504,228","1,990,963","$45,575,530,670"
2004,10/26/04,"1,741,001,844","2,059,072","$56,596,142,299"
2004,10/27/04,"1,791,499,912","2,234,478","$58,691,491,929"
2004,10/28/04,"1,670,045,096","1,986,632","$53,679,327,579"
2004,10/29/04,"1,587,380,210","1,880,754","$51,378,886,804"
2004,11/1/04,"1,509,626,635","1,983,832","$50,603,389,271"
2004,11/2/04,"1,722,405,803","2,114,150","$55,759,778,530"
2004,11/3/04,"1,829,516,397","2,157,239","$60,674,956,669"
2004,11/4/04,"1,865,530,369","2,203,721","$62,541,583,847"
2004,11/5/04,"1,799,844,729","2,134,041","$60,014,674,211"
2004,11/8/04,"1,405,962,499","1,974,492","$45,897,998,741"
2004,11/9/04,"1,529,105,405","1,929,414","$50,446,532,493"
2004,11/10/04,"1,550,960,075","1,990,393","$50,319,250,068"
2004,11/11/04,"1,442,867,296","1,862,027","$45,610,456,218"
