        DATE            STOCK
        VOLUME

        19800102         40618720
        19800103         50472120
        19800104         39167850
        19800107         44500040
        19800108         53389150
        19800109         65240000
        19800110         55986270
        19800111         52897590
        19800114         52940010
        19800115         52375330
        19800116         67751830
        19800117         54191170
        19800118         47153690
        19800121         48036200
        19800122         50617420
        19800123         50754080
        19800124         59103330
        19800125         47096920
        19800128         53622560
        19800129         55485060
        19800130         51179860
        19800131         65897450
        19800201         46651370
        19800204         43069840
        19800205         41878750
        19800206         51953490
        19800207         57696540
        19800208         57860200
        19800211         58661160
        19800212         48088540
        19800213         65229400
        19800214         50551810
        19800215         46676200
        19800219         39486770
        19800220         44344860
        19800221         51542590
        19800222         48212390
        19800225         39142180
        19800226         40041840
        19800227         46434500
        19800228         40314860
        19800229         38809630
        19800303         38688570
        19800304         44313190
        19800305         49258390
        19800306         49611500
        19800307         50953850
        19800310         43549480
        19800311         41422340
        19800312         37993830
        19800313         33000210
        19800314         35182890
        19800317         37016890
        19800318         47347740
        19800319         36528480
        19800320         32588150
        19800321         32221810
        19800324         39229431
        19800325         43797320
        19800326         37352340
        19800327         63779710
        19800328         46718440
        19800331         35850860
        19800401         32033310
        19800402         35208016
        19800403         27966480
        19800407         29130400
        19800408         31699950
        19800409         33022400
        19800410         33952640
        19800411         29968080
        19800414         23064920
        19800415         26672150
        19800416         39728450
        19800417         32777410
        19800418         26889980
        19800421         27557610
        19800422         47924250
        19800423         42621450
        19800424         35791930
        19800425         28590210
        19800428         30611040
        19800429         27938140
        19800430         30852840
        19800501         32484800
        19800502         28142580
        19800505         34085620
        19800506         40165470
        19800507         42598690
        19800508         39295660
        19800509         30286470
        19800512         28215240
        19800513         35459800
        19800514         40847390
        19800515         40919400
        19800516         31714770
        19800519         30973560
        19800520         31803740
        19800521         34832180
        19800522         41028300
        19800523         45794850
        19800527         40807920
        19800528         38576720
        19800529         42002275
        19800530         34819790
        19800602         32716610
        19800603         33157750
        19800604         44178730
        19800605         49072130
        19800606         37227780
        19800609         36816060
        19800610         42026060
        19800611         43808510
        19800612         47308420
        19800613         41857780
        19800616         36185870
        19800617         41994140
        19800618         41969930
        19800619         38287920
        19800620         36529920
        19800623         34183970
        19800624         37732320
        19800625         46501200
        19800626         45109560
        19800627         33113590
        19800630         29907580
        19800701         34343220
        19800702         42859190
        19800703         47232640
        19800707         42543950
        19800708         45833540
        19800709         52006100
        19800710         43731800
        19800711         38311290
        19800714         45481299
        19800715         60903220
        19800716         49138570
        19800717         48872120
        19800718         58045370
        19800721         42749790
        19800722         52234300
        19800723         45904970
        19800724         42423480
        19800725         36254560
        19800728         35332250
        19800729         44845470
        19800730         58061630
        19800731         54606220
        19800801         46436510
        19800804         41574000
        19800805         45512120
        19800806         45029370
        19800807         62373440
        19800808         58868740
        19800811         44696570
        19800812         52041960
        19800813         44371210
        19800814         47650650
        19800815         47809890
