    Date           Stock     Reported  Dollar Value     Warrants
 (yyyymmdd)       Volume       Trades     (mils. $)       Volume
    19900102    162105570        86859        5899.5       596400
    19900103    192368160        88337        7216.3       954100
    19900104    177010530        85471        6600.8      1209600
    19900105    158590170        79289        5884.8      1013100
    19900108    140124640        80601        4925.8       624900
    19900109    155212870        81740        5823.8       770800
    19900110    175999130        87496        6324.7       778400
    19900111    154415670        73704        5359.9      1292800
    19900112    183883200        97047        6584.4      1066400
    19900115    140594580        75431        5006.3       531900
    19900116    186097870        88912        6822.5      1177300
    19900117    170479660        87813        6152.4       747600
    19900118    178623080        90196        6304.0       621500
    19900119    185615430        81610        6620.8       595100
    19900122    148734370        95138        5154.0       612600
    19900123    179311230        91224        6138.3       847300
    19900124    207832640        99515        7293.3      1098500
    19900125    172279360        86721        5780.2       457900
    19900126    198278820        96311        6602.2      1109600
    19900129    150769830        88231        5110.2      1236200
    19900130    186033560        95876        6459.8      1341200
    19900131    189720410        92100        6458.3       984400
    19900201    154585190        69345        5303.2      1354800
    19900202    164417820        71458        5453.4      1452700
    19900205    130988180        65959        4195.4      1188700
    19900206    134086650        72434        4425.6      1687800
    19900207    186724410        85681        6212.4      1695800
    19900208    176243170        79585        6045.1      1471200
    19900209    146938410        68871        4796.4       915100
    19900212    118404080        68033        3858.7       644300
    19900213    144537800        74834        4910.6       677900
    19900214    138557820        67089        4520.2      1230100
    19900215    174624990        72935        5395.5      1586100
    19900216    166935910        70271        5898.3      1142200
    19900220    147266550        75100        4894.6      1129800
    19900221    159232270        79016        5580.1       621600
    19900222    184351920        77909        6500.6      1407500
    19900223    148508670        71435        5146.3       796200
    19900226    148911610        78815        4960.3       849100
    19900227    152593450        72252        5295.2      1213100
    19900228    184444450        79127        6065.8       679600
    19900301    157923270        72189        5486.1       761900
    19900302    164362550        68082        5620.2       939300
    19900305    140121160        73218        4874.5       924200
    19900306    143895730        72487        4950.7      1140400
    19900307    163590940        74023        5634.3       975300
    19900308    170916070        72846        6146.0      1266200
    19900309    150400220        69336        5193.3       874500
    19900312    114789820        63761        3916.7       395400
    19900313    145452840        74441        5111.0       541400
    19900314    145064220        66117        4891.5       543300
    19900315    144414640        65039        4847.5       661200
    19900316    223511550        69608        8650.4       989000
    19900319    142291790        74385        5124.1       565600
    19900320    176924350        83347        6214.8       878800
    19900321    130881330        67564        4394.3       565100
    19900322    175927150        78122        6073.1       986700
    19900323    132067700        64034        4446.5       766400
    19900326    116610950        59640        3880.8      1319000
    19900327    131617040        71148        4335.6      1262100
    19900328    142308364        69031        4855.4       592400
    19900329    132211990        62982        4519.5       612000
    19900330    139377150        69899        4725.1       684100
    19900402    124357620        64428        4275.8       301900
    19900403    154344690        76708        5408.8       908900
    19900404    159544410        73616        5642.2       490300
    19900405    144179890        68356        4820.3       537900
    19900406    137557410        66726        4572.3      1398500
    19900409    114995550        62327        3705.7       716000
    19900410    136019850        65911        4408.4       614700
    19900411    141093900        66323        4748.2       763600
    19900412    142274670        66525        4628.0      1458700
    19900416    142809230        75268        5277.7      1014300
    19900417    128007990        68865        4436.7       680000
    19900418    147128820        77240        5094.0       543800
    19900419    152941910        74169        5366.8       558300
    19900420    174278880        78895        6243.0       585800
    19900423    136145970        66942        4646.1       512500
    19900424    137380540        65039        4518.5       363600
    19900425    133494010        61780        4423.5       381600
    19900426    141388580        68571        4972.4       489200
    19900427    130634960        68484        4401.5       772700
    19900430    122765800        62355        4166.4       442300
    19900501    149026410        63561        4948.1       476300
    19900502    141585320        61339        4695.0       849000
    19900503    145574700        66364        5041.8       570400
    19900504    140572830        65815        4900.3       515500
    19900507    132762740        64041        4536.5       709100
    19900508    144241730        64611        5732.7       640400
    19900509    152224330        74813        5434.8       985600
    19900510    158465640        72540        5517.6       863500
    19900511    234068344       104535        8586.8      2363100
    19900514    225407470       111622        8345.3      2858400
    19900515    165739320        84680        6009.8      1250600
    19900516    159731340        75724        5608.2       900800
    19900517    164786440        79473        5917.9      1184800
    19900518    162517830        71358        6089.8       772000
    19900521    166294110        89815        6169.5      1298100
    19900522    203357450        96283        7249.7      1235600
    19900523    172336870        86718        5983.5       856800
    19900524    155446250        76817        5600.1       458300
    19900525    120253180        61159        4347.8       504200
    19900529    137413690        72481        4981.3       479000
    19900530    199530940        86629        7290.1      1017800
    19900531    165710250        78658        5785.8      1188800
    19900601    187878590        79075        6673.5      1222100
    19900604    175523094        91287        6396.1       994000
    19900605    199762870        82659        7346.5      1182800
    19900606    164029630        78456        5838.4       578100
    19900607    159752390        77950        5535.0       597700
    19900608    142600190        71724        5138.3       774800
    19900611    119541130        65697        4345.6       769800
    19900612    157140170        80312        5576.3      1082700
    19900613    158920530        82740        5866.3      1544500
    19900614    135775280        66856        4775.3      1104900
    19900615    205147430        65473        7996.6       775600
    19900618    133512910        71576        4767.6       887700
    19900619    134935430        76200        4750.3      1006300
    19900620    137449260        68938        4622.9      1177500
    19900621    138574560        67164        4902.0       758200
    19900622    172578860        88687        6329.7       863500
    19900625    133114310        69753        4738.3       784700
    19900626    141411200        70117        5139.3       984100
    19900627    146622830        71856        5287.9       620800
    19900628    136120280        65958        4708.1      1089100
    19900629    145628470        63468        4888.3       619500
    19900702    130215990        63346        4294.8       507000
    19900703    130058200        65642        4297.9       448000
    19900705    128325720        72745        4555.0       449300
    19900706    111734370        61956        3990.7       448300
    19900709    119392310        67815        4039.7       501300
    19900710    147642180        78513        4986.6       681400
    19900711    162160250        80825        5735.4      1071500
    19900712    211582950        94101        7531.8      2009700
    19900713    215589090        98148        7881.7      1966000
    19900716    149432690        80118        5321.7      1414300
    19900717    176789220        88254        6287.9      1133900
    19900718    168773710        80670        6022.1      1206600
    19900719    162024550        75764        5891.8      1472700
    19900720    177867000        77779        6668.3       923800
    19900723    209036890       105452        7857.8      1621800
    19900724    181920620        92802        6666.1      1389000
    19900725    163532510        73456        5655.9       858400
    19900726    155044880        74617        5543.6       710200
    19900727    149089040        71740        5416.6       904600
    19900730    146477070        74335        5190.7       620100
    19900731    173837130        80964        6157.1       784900
    19900801    176814390        80424        6169.8       752600
    19900802    253042940        91725        9705.9      2721000
    19900803    292363500       121675       11065.0      2704700
    19900806    240460160       107120        8375.0      2101900
    19900807    231580510       107969        8483.3      1367000
    19900808    190378920        91212        6714.8      1366700
    19900809    155818480        71466        8265.0      1110500
    19900810    145341890        76216        4997.9      1254900
    19900813    122825430        65787        4107.5       824800
    19900814    130329970        70795        4383.5       886700
    19900815    135269180        63980        4574.3       799900
    19900816    138861670        65960        4711.3      1319600
    19900817    212556510        88712        7482.6      3619800
    19900820    129640300        75353        4202.9      1005600
    19900821    194708740        93542        6390.0      1544900
    19900822    175565670        86319        5595.3      1286200
    19900823    250548530       105103        7841.2      4439200
    19900824    199059780       100425        6355.7      2026200
    19900827    160041100        81623        5218.8      1924000
    19900828    127675970        67156        4010.1       762300
    19900829    134243550        69489        4390.4      1035200
    19900830    120888960        69511        3881.0       599000
    19900831     96490960        54974        2938.1       485600
    19900904     92945850        51155        2938.8       443600
    19900905    120632680        61629        3914.7       792700
    19900906    125622850        61165        4013.0      1061800
    19900907    123802280        64937        3847.8       640100
    19900910    119728550        65419        3829.7       573700
    19900911    113254590        56669        3517.1       461700
    19900912    129895540        57909        3976.5       682300
    19900913    123396060        61397        3835.2       701400
    19900914    133368710        63296        4105.5       573700
    19900917    110608890        56840        3496.0       402000
    19900918    141129580        69969        4428.5      1020500
    19900919    147557140        66665        4783.0      1199600
    19900920    145112000        66244        4678.0       906900
    19900921    201054180        72046        6421.9       681900
    19900924    162212960        82022        4707.2       664300
    19900925    155943590        74528        4699.3       749500
    19900926    155619990        72946        4734.4       760200
    19900927    182694970        81559        5152.1       849700
    19900928    201037360        84541        5708.6      1283800
    19901001    202222110        91470        6409.6      1459400
    19901002    188416800        85937        5928.5      1351700
    19901003    135492560        65339        4060.1       675300
    19901004    145411530        68899        4248.3       718700
    19901005    153391860        75102        4761.2      1216200
    19901008     99459050        48393        2935.0       626000
    19901009    145590460        65349        4501.5       839800
    19901010    167867260        82355        5335.0      1119500
    19901011    180058770        82728        5558.9      2955900
    19901012    187944370        83310        5629.2      1236900
    19901015    164981310        84112        5141.6      1191000
    19901016    149579530        72354        4268.6       941500
    19901017    161258600        70971        4562.6      1211700
    19901018    204112900        79402        6236.2      1398200
    19901019    221715890        79844        7466.8      1981100
    19901022    152678930        74498        4840.2      1216100
    19901023    146287440        73238        4430.1      1021200
    19901024    149293390        66861        4311.7       752600
    19901025    141461600        63449        4178.9       553000
    19901026    130195440        58679        3466.0       883200
    19901029    133975280        69042        3878.4       870600
    19901030    153447260        74489        4339.5       649200
    19901031    156061280        64937        4348.9       925400
    19901101    159287670        73097        4681.8      1433800
    19901102    168691370        68379        4954.2      1577900
    19901105    147507660        70806        4357.3      1833500
    19901106    141131718        66350        3981.3      1433400
    19901107    149143240        67990        4468.1       916700
    19901108    155570400        72631        4658.9      1237100
    19901109    145162670        73078        4381.7      1488400
    19901112    161402880        69599        4949.3      2114700
    19901113    160206990        72888        4796.5      1612000
    19901114    179318990        79882        5323.2      1487500
    19901115    151383580        67536        4544.1       962700
    19901116    165413090        68617        5218.6       838900
    19901119    140952750        69165        4400.0       833300
    19901120    161233460        67151        4682.7       861800
    19901121    140656430        65628        4154.0      1401800
    19901123     63351720        33528        1872.4       459400
    19901126    131240920        68237        4112.2      1121600
    19901127    147590930        71799        4554.2      1282900
    19901128    145485680        66303        4314.7       900400
    19901129    141037340        67509        4199.0       655200
    19901130    192349070        91658        5933.6      1934000
    19901203    177019540        74469        5658.1       639100
