year,month,avg_clstr,nodes,edges
1991,1,0.01865345999417487,1141,1802
1991,2,0.018566694077857618,1146,1813
1991,3,0.018165731469695547,1154,1824
1991,4,0.01809259140814032,1156,1837
1991,5,0.01809259140814032,1156,1837
1991,6,0.018061343409162527,1158,1837
1991,7,0.018076953904762497,1157,1837
1991,8,0.018076953904762497,1157,1837
1991,9,0.01804575985143245,1159,1837
1991,10,0.018061343409162527,1158,1836
1991,11,0.018061343409162527,1158,1836
1991,12,0.01804575985143245,1159,1836
1992,1,0.013941536024449286,1173,1875
1992,2,0.013786841230114814,1186,1905
1992,3,0.014843271778654292,1192,1923
1992,4,0.014628811739675986,1199,1946
1992,5,0.014628811739675986,1199,1946
1992,6,0.014616621063226256,1200,1946
1992,7,0.014628811739675986,1199,1946
1992,8,0.014628811739675986,1199,1946
1992,9,0.014604450687653212,1201,1946
1992,10,0.014580170636634669,1203,1946
1992,11,0.014580170636634669,1203,1946
1992,12,0.014568060860358395,1204,1946
1993,1,0.01424106863567804,1293,2122
1993,2,0.014105526727867813,1301,2136
1993,3,0.013774617924031167,1311,2157
1993,4,0.014419855767667068,1318,2182
1993,5,0.014408923352376948,1319,2182
1993,6,0.014408923352376948,1319,2182
1993,7,0.01439800750135242,1320,2182
1993,8,0.01439800750135242,1320,2182
1993,9,0.01439800750135242,1320,2182
1993,10,0.01439800750135242,1320,2182
1993,11,0.014387108176975923,1321,2182
1993,12,0.014387108176975923,1321,2182
1994,1,0.017864380678971316,1380,2396
1994,2,0.017764059182497807,1391,2415
1994,3,0.017547867234981303,1403,2439
1994,4,0.017561689809783967,1420,2467
1994,5,0.017536989824116198,1422,2467
1994,6,0.017536989824116198,1422,2467
1994,7,0.017536989824116198,1422,2467
1994,8,0.017536989824116198,1422,2467
1994,9,0.017536989824116198,1422,2467
1994,10,0.017536989824116198,1422,2467
1994,11,0.017536989824116198,1422,2467
1994,12,0.017536989824116198,1422,2467
1995,1,0.01756567320955415,1521,2695
1995,2,0.017355701795465587,1531,2720
1995,3,0.017352538365643346,1540,2755
1995,4,0.01725546711517003,1548,2772
1995,5,0.01725546711517003,1548,2772
1995,6,0.01725546711517003,1548,2772
1995,7,0.01725546711517003,1548,2772
