# year,month,words,vocab,klent50,klent100,klent500,klent1000,klent2000,churn50,churn100,churn500,churn1000,churn2000,rank50,rank100,rank500,rank1000,rank2000
1991,04,52010.0,4427,0.0139438760374,0.0183332922285,0.0313897930701,0.0425067823765,0.0695967668048,0.16,0.16,0.19,0.21,0.227,0.904869945709,0.859976511344,0.858351376653,0.848696027391,0.78990419232
1991,05,54617.0,4650,0.0338210034582,0.0407223075344,0.121488807651,0.160432944681,0.197790955044,0.26,0.26,0.286,0.299,0.3485,0.802726733847,0.795320729654,0.694111615087,0.704460900135,0.718047608635
1991,06,54226.0,4737,0.0335131669676,0.0372612827363,0.112100037873,0.14313424043,0.183743753701,0.24,0.28,0.286,0.317,0.338,0.804442990153,0.830726800545,0.691882488427,0.737831244285,0.695975614556
1991,07,51583.0,4767,0.0201827483782,0.0307124784467,0.0644835730432,0.0891082978363,0.125682905181,0.26,0.2,0.268,0.289,0.33,0.863375023744,0.809807680256,0.790263424592,0.75403676984,0.711213360993
1991,08,55255.0,4913,0.0216561853383,0.0215754367584,0.0429831578485,0.0619718157582,0.0983535760603,0.12,0.15,0.26,0.275,0.335,0.889625037451,0.878877617219,0.79108685796,0.767267414485,0.759563992226
1991,09,56047.0,4851,0.0389350690312,0.036910695608,0.0653892431145,0.0790746605829,0.100506004855,0.16,0.2,0.228,0.271,0.3235,0.858381974286,0.872989449004,0.804275491684,0.784536021076,0.772809534649
1991,10,64280.0,4961,0.0102216550089,0.0134395738164,0.0431216267358,0.0593680628402,0.0929702338487,0.12,0.21,0.24,0.248,0.3095,0.937407485726,0.910215288145,0.804602027836,0.783425114016,0.75053229503
1991,11,68901.0,5034,0.0304177073641,0.0286233345277,0.045194633713,0.0835720670808,0.111034777998,0.14,0.21,0.248,0.259,0.31,0.839191996067,0.883657656248,0.816505757377,0.764374804914,0.77493287407
1991,12,64685.0,5007,0.05906381138,0.0514612796865,0.0567071681597,0.101402577132,0.115366758962,0.18,0.16,0.19,0.216,0.2365,0.814680904365,0.865649353668,0.836671743632,0.811661199333,0.801817084403
1992,01,368153.0,14935,0.0202833790021,0.0233977849459,0.0412043752303,0.0553326912824,0.0775143046202,0.16,0.15,0.186,0.216,0.2435,0.849027555462,0.853925118943,0.842933926117,0.813278982489,0.788624901654
1992,02,665073.0,14563,0.013627187746,0.0152099921692,0.0319301008239,0.0534647041096,0.0851952422269,0.12,0.18,0.232,0.254,0.302,0.872709333997,0.903711968703,0.84022966192,0.79051916611,0.766826554769
1992,03,69339.0,5463,0.00557077591827,0.00771926647966,0.0193847763741,0.0289616347844,0.0433145225687,0.08,0.1,0.152,0.172,0.2055,0.935603263966,0.935954955229,0.881592112509,0.863978273559,0.845449715542
1992,04,76432.0,5720,0.00858957478508,0.011130571609,0.0268627474088,0.0344654566209,0.0468965965874,0.1,0.15,0.152,0.161,0.217,0.929907773386,0.918932917104,0.84895047165,0.857923676828,0.8467105617
1992,05,71455.0,5381,0.0115064649197,0.0191225425796,0.0355816931066,0.0571393743752,0.083014776317,0.16,0.18,0.232,0.254,0.291,0.920296609208,0.859218783178,0.84276636541,0.786056271812,0.763420047612
1992,06,68607.0,5558,0.017444739055,0.0240222784441,0.0442643796743,0.0696935292428,0.101207440062,0.18,0.17,0.246,0.274,0.3235,0.873219207753,0.836993030527,0.802854983039,0.76085744559,0.742012192389
1992,07,78027.0,6131,0.0219464220845,0.034349299301,0.0612212437972,0.0823889892676,0.108694906832,0.18,0.19,0.248,0.275,0.3095,0.86637630662,0.821485438309,0.761634534378,0.739966255088,0.743501887791
1992,08,77686.0,6221,0.0355786931578,0.0452557398094,0.0654588625715,0.0850043336327,0.113330198749,0.2,0.19,0.254,0.277,0.3165,0.798761320262,0.771794307447,0.766617004687,0.757320440397,0.740721628668
1992,09,72858.0,6180,0.0205306227114,0.0264077903911,0.0472891108769,0.0737977882709,0.0995623034004,0.16,0.18,0.226,0.263,0.3105,0.82985534873,0.811867285007,0.783134646963,0.757120259568,0.746578987608
1992,10,76489.0,6468,0.028810769453,0.0398448648618,0.076386564225,0.100025176905,0.129563527914,0.22,0.23,0.256,0.281,0.3145,0.774138066947,0.773932536456,0.717437564236,0.738865923808,0.727672068505
1992,11,74066.0,6352,0.023559303219,0.0322371829801,0.0616752102553,0.0836879596953,0.115340835365,0.26,0.22,0.258,0.278,0.3265,0.830209945349,0.753060734131,0.758391268608,0.729106103971,0.727731612866
1992,12,72499.0,6766,0.0221471133082,0.0232401025392,0.0395903399726,0.0502067637428,0.0787640123224,0.18,0.14,0.184,0.214,0.242,0.858163456136,0.873314652769,0.826972761292,0.829002752316,0.803503039729
1993,01,509327.0,20389,0.0214927526011,0.0233081664067,0.0337035905407,0.0417986231205,0.0597226760224,0.12,0.14,0.182,0.207,0.2435,0.779810408981,0.876249024229,0.846939667608,0.844835342528,0.810977200928
1993,02,930414.0,19660,0.0159208089028,0.0196779750258,0.0349123118301,0.0516078137011,0.0808130560682,0.12,0.14,0.238,0.251,0.2945,0.876383523301,0.895105324241,0.836757565639,0.79030448955,0.754072211936
1993,03,97198.0,7931,0.00431653991179,0.00594618595403,0.0133841061299,0.0206218059553,0.0303803798148,0.08,0.1,0.126,0.139,0.169,0.937459524916,0.94452859469,0.910807129408,0.886519793915,0.880613349613
1993,04,111732.0,8254,0.0118254075275,0.0110024491185,0.020060652459,0.0269938295876,0.0382290404777,0.12,0.13,0.146,0.15,0.1605,0.845533052775,0.943943461244,0.876169626693,0.87621320383,0.86657929195
1993,05,104843.0,8193,0.0274214618796,0.0288253138425,0.0429862060925,0.0557290298742,0.0752137053729,0.08,0.16,0.196,0.233,0.248,0.682394303966,0.877449045402,0.821480622563,0.812558663083,0.787523895951
1993,06,105209.0,8464,0.00631958387815,0.00849700349309,0.0215389102579,0.0336101420797,0.0515521426924,0.08,0.11,0.174,0.205,0.2435,0.836365879233,0.921426413022,0.857186647018,0.844006870232,0.820416492884
1993,07,110748.0,8466,0.0145294510823,0.0147939306548,0.0339510135386,0.045936778696,0.0670639922913,0.14,0.2,0.204,0.228,0.255,0.833987917787,0.92016668841,0.802468021873,0.811235247054,0.790335228097
1993,08,96994.0,7864,0.0183255723811,0.0228541188759,0.0364410560375,0.0471529477659,0.0668476923586,0.1,0.18,0.18,0.233,0.2595,0.806535560605,0.855112925626,0.825493286886,0.83048290577,0.804107529399
1993,09,103297.0,8072,0.0130630611512,0.013928803417,0.0321851637667,0.044102606458,0.0639494584564,0.14,0.16,0.176,0.208,0.2665,0.8624400565,0.909154423724,0.825824385358,0.831705455852,0.806829379558
1993,10,109377.0,7903,0.0103542790013,0.0114378190661,0.0297939314599,0.0414059360892,0.0636603585946,0.06,0.17,0.214,0.233,0.2865,0.85289270856,0.907204484109,0.835904363077,0.822895070784,0.807282171236
1993,11,106567.0,7436,0.0247237489306,0.0290752370709,0.0383036189618,0.0489731285765,0.0681181569224,0.16,0.14,0.192,0.221,0.271,0.85985248759,0.846983450058,0.843323235761,0.827113724964,0.806147433086
1993,12,107982.0,7597,0.0176640822715,0.0218729281629,0.0292677497033,0.0407612364869,0.0574750063297,0.16,0.14,0.148,0.18,0.2185,0.901296599394,0.85202517229,0.858048555316,0.854775689804,0.839002689479
1994,01,574640.0,21842,0.0165731528755,0.0223325976301,0.0331012728374,0.0465818786984,0.0638165969115,0.18,0.13,0.18,0.193,0.2215,0.895857834379,0.819861116719,0.859171504857,0.833818792302,0.825320383178
1994,02,1030247.0,21123,0.0228968800709,0.0260660313097,0.0370820009021,0.05064060862,0.0707572349945,0.16,0.16,0.218,0.23,0.288,0.900705207588,0.840046577605,0.847260828705,0.814800284912,0.797773068404
1994,03,104835.0,7972,0.00418098560293,0.00706574246597,0.0146450670085,0.0207807147905,0.0319073289099,0.08,0.11,0.124,0.148,0.1755,0.964719676741,0.910409201237,0.913708085399,0.904449919821,0.88145649698
1994,04,132864.0,9049,0.00466389129265,0.00606155745604,0.014404212225,0.0227899303259,0.0324705203326,0.06,0.12,0.126,0.152,0.1665,0.948193120984,0.913912592578,0.900847800136,0.893612590674,0.888970540243
1994,05,129183.0,9091,0.0186749911176,0.0244630278731,0.0499554488383,0.0656970870953,0.0874339130183,0.16,0.19,0.224,0.231,0.269,0.874741680232,0.833910230107,0.781092767905,0.780219814923,0.780698202234
1994,06,126230.0,8878,0.0128068806904,0.0210229138846,0.0339843918884,0.044614801098,0.0646660168147,0.16,0.16,0.178,0.209,0.252,0.936537529418,0.8421223169,0.829135784153,0.84572064039,0.822378887815
1994,07,121842.0,8490,0.0165375481809,0.0166440906294,0.0306198207753,0.0443393835202,0.0674033340724,0.14,0.19,0.196,0.216,0.2555,0.872418350631,0.914626434419,0.835781457162,0.818818284954,0.798681879442
1994,08,120555.0,8805,0.0100160207731,0.0128831868839,0.0280604967029,0.0421132982973,0.0673816739248,0.12,0.15,0.188,0.217,0.2485,0.926086543372,0.905722425277,0.824297328041,0.83047667631,0.796032635817
1994,09,127581.0,8920,0.0136659211851,0.01622070254,0.0305373495341,0.0456563852788,0.0711104888617,0.12,0.17,0.198,0.204,0.269,0.877537355512,0.872677750536,0.80070042834,0.808405163188,0.808713714621
1994,10,122071.0,8712,0.016925991729,0.0186154526333,0.0353800612487,0.0501926342947,0.0772158737238,0.2,0.14,0.2,0.21,0.277,0.913696060038,0.886759696944,0.833172013143,0.810127447993,0.806733108747
1994,11,119583.0,8356,0.0166394472261,0.0200016796634,0.0350713562313,0.0516677713467,0.0810533477401,0.14,0.19,0.208,0.236,0.269,0.917000250105,0.894700584446,0.818846550556,0.801666835501,0.786067665439
1994,12,102561.0,7675,0.0136301060183,0.0139694210657,0.020975956415,0.03698090443,0.0532662422835,0.1,0.16,0.15,0.178,0.221,0.901969828692,0.907369626825,0.884849601689,0.867748951765,0.847571517752
1995,01,532986.0,19700,0.0127437864265,0.0173482658483,0.0238170921983,0.0412707488181,0.0552244125176,0.14,0.12,0.164,0.182,0.229,0.930944650004,0.875504696233,0.87230915499,0.858655315978,0.849172996005
1995,02,966641.0,18887,0.0117087613306,0.0143912839106,0.0275700581534,0.0397002183475,0.0605786585766,0.12,0.14,0.182,0.218,0.2715,0.910628702572,0.897133961045,0.84216274525,0.837419648543,0.81737269409
1995,03,117824.0,7979,0.00531713197646,0.00696005548025,0.0137469705048,0.0201705460181,0.032529627937,0.1,0.08,0.118,0.14,0.181,0.935529579484,0.932766117632,0.911823769483,0.903915576314,0.8775403259
1995,04,112702.0,7589,0.00575023323915,0.00651117341505,0.0123974189238,0.0203770467006,0.0319083881937,0.06,0.11,0.12,0.147,0.1845,0.920121422376,0.941502198767,0.913068954751,0.897404198341,0.878859952416
1995,05,104956.0,7653,0.0102286542435,0.0174602252263,0.0311268647724,0.0455024286634,0.067291033221,0.18,0.17,0.174,0.228,0.266,0.912147742492,0.873483353673,0.818323091327,0.820659717873,0.802574432711
1995,06,111751.0,8004,0.011796711926,0.014654674826,0.0284204954755,0.0370463542999,0.0592203682094,0.16,0.15,0.176,0.212,0.2655,0.893009125141,0.886962089067,0.838839560326,0.851484096202,0.825104712436
1995,07,103381.0,7414,0.0136295771708,0.0155858393612,0.0283986331457,0.0382835196205,0.0620473243819,0.12,0.16,0.186,0.234,0.269,0.832193953062,0.901541079292,0.846881566311,0.839367531948,0.812565644729
1995,08,97508.0,7675,0.0129003327531,0.0214664102188,0.0350041401899,0.0479926709085,0.0679600548314,0.18,0.2,0.19,0.223,0.2605,0.896279843095,0.843759890342,0.817339070488,0.811855267669,0.801618542322
1995,09,114663.0,7994,0.012457731908,0.0147571646253,0.0297881258591,0.0410747533677,0.0649681120875,0.2,0.19,0.18,0.215,0.265,0.882446762491,0.891464901978,0.865693292316,0.847847910024,0.809589932709
1995,10,114843.0,8096,0.0139567027508,0.0137235123304,0.0254553369392,0.0390532500106,0.0571216788659,0.12,0.16,0.2,0.199,0.2595,0.903189432361,0.893854013481,0.867408799067,0.823230461299,0.819065697454
1995,11,117473.0,8116,0.024372651978,0.0236191777381,0.0315074775555,0.0481333766891,0.0683133167475,0.14,0.16,0.19,0.219,0.2595,0.834290032591,0.86758235971,0.852273261381,0.803339878679,0.803699275631
