sdate,nyse_volume,nyse_trades,nyse_dv,nyse_warrants_volume
19900102,162105570.00,86859.00,5899.50,596400
19900103,192368160.00,88337.00,7216.30,954100
19900104,177010530.00,85471.00,6600.80,1209600
19900105,158590170.00,79289.00,5884.80,1013100
19900108,140124640.00,80601.00,4925.80,624900
19900109,155212870.00,81740.00,5823.80,770800
19900110,175999130.00,87496.00,6324.70,778400
19900111,154415670.00,73704.00,5359.90,1292800
19900112,183883200.00,97047.00,6584.40,1066400
19900115,140594580.00,75431.00,5006.30,531900
19900116,186097870.00,88912.00,6822.50,1177300
19900117,170479660.00,87813.00,6152.40,747600
19900118,178623080.00,90196.00,6304.00,621500
19900119,185615430.00,81610.00,6620.80,595100
19900122,148734370.00,95138.00,5154.00,612600
19900123,179311230.00,91224.00,6138.30,847300
19900124,207832640.00,99515.00,7293.30,1098500
19900125,172279360.00,86721.00,5780.20,457900
19900126,198278820.00,96311.00,6602.20,1109600
19900129,150769830.00,88231.00,5110.20,1236200
19900130,186033560.00,95876.00,6459.80,1341200
19900131,189720410.00,92100.00,6458.30,984400
19900201,154585190.00,69345.00,5303.20,1354800
19900202,164417820.00,71458.00,5453.40,1452700
19900205,130988180.00,65959.00,4195.40,1188700
19900206,134086650.00,72434.00,4425.60,1687800
19900207,186724410.00,85681.00,6212.40,1695800
19900208,176243170.00,79585.00,6045.10,1471200
19900209,146938410.00,68871.00,4796.40,915100
19900212,118404080.00,68033.00,3858.70,644300
19900213,144537800.00,74834.00,4910.60,677900
19900214,138557820.00,67089.00,4520.20,1230100
19900215,174624990.00,72935.00,5395.50,1586100
19900216,166935910.00,70271.00,5898.30,1142200
19900220,147266550.00,75100.00,4894.60,1129800
19900221,159232270.00,79016.00,5580.10,621600
19900222,184351920.00,77909.00,6500.60,1407500
19900223,148508670.00,71435.00,5146.30,796200
19900226,148911610.00,78815.00,4960.30,849100
19900227,152593450.00,72252.00,5295.20,1213100
19900228,184444450.00,79127.00,6065.80,679600
19900301,157923270.00,72189.00,5486.10,761900
19900302,164362550.00,68082.00,5620.20,939300
19900305,140121160.00,73218.00,4874.50,924200
19900306,143895730.00,72487.00,4950.70,1140400
19900307,163590940.00,74023.00,5634.30,975300
19900308,170916070.00,72846.00,6146.00,1266200
19900309,150400220.00,69336.00,5193.30,874500
19900312,114789820.00,63761.00,3916.70,395400
19900313,145452840.00,74441.00,5111.00,541400
19900314,145064220.00,66117.00,4891.50,543300
19900315,144414640.00,65039.00,4847.50,661200
19900316,223511550.00,69608.00,8650.40,989000
19900319,142291790.00,74385.00,5124.10,565600
19900320,176924350.00,83347.00,6214.80,878800
19900321,130881330.00,67564.00,4394.30,565100
19900322,175927150.00,78122.00,6073.10,986700
